11:52:05.579 |  get_toc.py  | Line 110 | DEBUG ➤ Row 27:1 text: `Chapter 1002 - A Tale of Half-Truths`
11:52:05.580 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1002: A Tale of Half-Truths
11:52:05.580 |  get_toc.py  | Line 110 | DEBUG ➤ Row 28:1 text: `Chapter 1003 - A Suspiciously Productive Meeting`
11:52:05.580 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1003: A Suspiciously Productive Meeting
11:52:05.580 |  get_toc.py  | Line 110 | DEBUG ➤ Row 29:1 text: `Chapter 1004 - A Real Royal Mess`
11:52:05.580 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1004: A Real Royal Mess
11:52:05.580 |  get_toc.py  | Line 110 | DEBUG ➤ Row 30:1 text: `Chapter 1005 - Countless Considerations`
11:52:05.581 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1005: Countless Considerations
11:52:05.581 |  get_toc.py  | Line 110 | DEBUG ➤ Row 31:1 text: `Chapter 1006 - Importance of Trust`
11:52:05.581 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1006: Importance of Trust
11:52:05.581 |  get_toc.py  | Line 110 | DEBUG ➤ Row 32:1 text: `Chapter 1007 - Valhal Alchemy Intermission`
11:52:05.581 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1007: Valhal Alchemy Intermission
11:52:05.581 |  get_toc.py  | Line 110 | DEBUG ➤ Row 33:1 text: `Chapter 1008 - Extreme Progress...`
11:52:05.582 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1008: Extreme Progress...
11:52:05.582 |  get_toc.py  | Line 110 | DEBUG ➤ Row 34:1 text: `Chapter 1009 - Dark Clouds Over Primordial-4`
11:52:05.582 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1009: Dark Clouds Over Primordial-4
11:52:05.582 |  get_toc.py  | Line 110 | DEBUG ➤ Row 35:1 text: `Chapter 1010 - A Proper Greeting`
11:52:05.582 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1010: A Proper Greeting
11:52:05.582 |  get_toc.py  | Line 110 | DEBUG ➤ Row 36:1 text: `Chapter 1011 - Worst Chosen in History`
11:52:05.583 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1011: Worst Chosen in History
11:52:05.583 |  get_toc.py  | Line 110 | DEBUG ➤ Row 37:1 text: `Chapter 1012 - Three Theories`
11:52:05.583 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1012: Three Theories
11:52:05.583 |  get_toc.py  | Line 110 | DEBUG ➤ Row 38:1 text: `Chapter 1013 - The Malefic Viper vs Yip of Yore (1)`
11:52:05.584 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1013: The Malefic Viper vs Yip of Yore (1)
11:52:05.584 |  get_toc.py  | Line 110 | DEBUG ➤ Row 39:1 text: `Chapter 1014 - The Malefic Viper vs Yip of Yore (2)`
